oem33.inf	qcadsprpc8180.cat	SYSTEM	%QUALCOMM%	03/20/2020,1.0.1040.0000
oem34.inf	qcadsprpcd8180.cat	SYSTEM	%QUALCOMM%	03/20/2020,1.0.1040.0000
oem35.inf	qcauddev8180.cat	Media	%QCOM%	09/13/2019,1.0.0770.0000
oem36.inf	qcauddev8180_SS.cat	Media	%SAM%	02/11/2020,1.0.0960.0001
oem37.inf	qcaudminiport8180_SS.cat	MEDIA	%SAM%	07/14/2020,1.0.1000.0004
oem38.inf	qcbattminiclass850.cat	Battery	%COMP%	09/17/2018,1.0.9260.0000
oem39.inf	qcbattminiclass850.cat	Bluetooth	%QC%	03/24/2021,1.0.1520.0000
oem4.inf	dax3_swc_aposvc_arm64.cat	SoftwareComponent	%ManufacturerName%	04/08/2019,3.20301.325.0
oem41.inf	dax3_swc_aposvc_arm64.cat	Extension	%QCA%	06/13/2019,1.0.0640.0000
oem42.inf	dax3_swc_aposvc_arm64.cat	Bluetooth	%QCA%	10/25/2019,1.0.0830.0000
oem43.inf	dax3_swc_aposvc_arm64.cat	Bluetooth	%QCA%	03/24/2021,1.0.1520.0000
oem44.inf	qccamavscls8180.cat	CAMERA	%QC%	06/30/2020,3110.540.0.0
oem45.inf	qccamfrontsensor8180.cat	Camera	%QC%	06/30/2020,3110.540.0.0
oem47.inf	qccamisp8180.cat	Camera	%QC%	06/30/2020,3110.539.0.0
oem49.inf	qccamjpege8180.cat	Camera	%QC%	06/30/2020,3110.539.0.0
oem5.inf	dax3_swc_aposvc_arm64.cat	SoftwareComponent	%ManufacturerName%	09/24/2019,3.20403.443.10
oem51.inf	qccammipicsi8180.cat	Camera	%QC%	06/30/2020,3110.539.0.0
oem53.inf	qccamplatform8180.cat	Camera	%QC%	06/30/2020,3110.540.0.0
oem54.inf	qcccidbridge8180.cat	System	%QCOM%	03/20/2020,1.0.1040.0000
oem55.inf	qccdi8180.cat	SYSTEM	%QUALCOMM%	03/20/2020,1.0.1040.0000
oem57.inf	QCDiagBridge.cat	System	%ManufacturerName%	09/18/2019,1.0.0760.0001
oem58.inf	QCDIAGCSI8180.cat	SYSTEM	%QC%	02/27/2020,1.0.1000.0000
oem59.inf	QCDIAGROUTER8180.cat	SYSTEM	%QC%	02/27/2020,1.0.1000.0000
oem6.inf	dax3_swc_hsa_arm64.cat	SoftwareComponent	%ManufacturerName%	03/12/2019,3.20301.311.0
oem60.inf	qcdx8180.cat	Display	%QC%	03/20/2020,26.18.1040.0000
oem61.inf	qcdx8180.cat	Display	%QC%	09/24/2021,27.20.1640.0000
oem62.inf	qcfgbcl8180.cat	System	%COMP%	03/20/2020,1.0.1040.0000
oem63.inf	qcfgbclext8180.cat	Extension	%COMP%	03/20/2020,1.0.1040.0000
oem65.inf	qcglink8180.cat	System	%QUALCOMM%	03/20/2020,1.0.1040.0000
oem66.inf	qcgnss.cat	Sensor	%ManufacturerName%	03/06/2020,1.0.1020.0000
oem68.inf	qcgpi8180.cat	System	%QC%	03/20/2020,1.0.1040.0000
oem7.inf	dax3_swc_hsa_arm64.cat	SoftwareComponent	%ManufacturerName%	08/26/2019,3.20402.409.1
oem70.inf	qcgpio.cat	System	%COMP%	10/25/2019,1.0.0830.0000
oem73.inf	qcgsi8180.cat	System	%QUALCOMM%	03/20/2020,1.0.1040.0000
oem74.inf	qchwnled8180.cat	HIDClass	%ManufacturerName%	09/26/2019,1.0.0.1
oem76.inf	qci2c8180.cat	System	%QC%	03/20/2020,1.0.1040.0000
oem77.inf	qciommu8180.cat	System	%QC%	03/20/2020,1.0.1040.0000
oem78.inf	qcipa8180.cat	System	%QUALCOMM%	03/06/2020,1.0.1020.0000
oem8.inf	EgisTouchFPWOA.cat	Biometric	%EGIS%	07/29/2019,1.0.15.0
oem81.inf	qcipcrouter8180.cat	SYSTEM	%QUALCOMM%	03/20/2020,1.0.1040.0000
oem83.inf	qckmBam8180.cat	System	%QUALCOMM%	03/20/2020,1.0.1040.0000
oem84.inf	QCListenSM_swc_ext8180.cat	Extension	%QCOM%	10/16/2019,1.0.0730.3000
oem85.inf	QCListenSM_swc8180.cat	SoftwareComponent	%QCOM%	08/26/2019,1.0.0730.2000
oem86.inf	QCListenSM_swc8180.cat	SoftwareComponent	%QCOM%	08/02/2019,1.0.0710.0000
oem87.inf	QCListenSM8180.cat	Extension	%QCOM%	08/26/2019,1.0.0730.2000
oem89.inf	QcLteCoexMgr8180.cat	SYSTEM	%QUALCOMM%	03/06/2020,1.0.1020.0000
oem9.inf	EmuEC.cat	System	%ManufacturerName%	02/04/2020,15.2.40.590
oem90.inf	qcmbb8180.cat ;todo .cat file generated once driver passes WHQL	Net	%QCOM%	02/22/2021,3347.49.0.0
oem92.inf	qcmbrg8180.cat	System	%QCOM%	03/20/2020,1.0.1040.0000
oem93.inf	qcpdsr.cat	SYSTEM	%QUALCOMM%	03/06/2020,1.0.1020.0000
oem95.inf	qcpep8180.cat	System	%QC%	03/06/2020,1.0.1020.0001
oem97.inf	qcpil8180.cat	System	%QUALCOMM%	09/13/2019,1.0.0770.0000
oem98.inf	qcpilext8180.cat	Extension	%QUALCOMM%	09/13/2019,1.0.0770.0001
oem99.inf	qcpmic8180.cat	System	%QC%	02/06/2020,1.0.0980.0000
