Device	Component	FState	Rail	Mode	Microvolt	Microamp	Param4	Param5	Line
\_SB.URS0.UFN0			LDO5_E	0x000D6D80	0x07				48329
\_SB.URS0.UFN0			LDO12_A	0x001B7740	0x04				48633
\_SB.URS0.UFN0			LDO16_E	0x002EE000	0x04				48647
\_SB.URS0.UFN0			LDO3_C	0x00124F80	0x04				48661
\_SB.URS0.UFN0			LDO9_E	0x000DEA80	0x04				48675
\_SB.URS0.UFN0			LDO5_E	0x000D6D80	0x04				48689
\_SB.URS0.UFN0			LDO16_E	0x04					48827
\_SB.URS0.UFN0			LDO12_A	0x04					48841
\_SB.URS0.UFN0			LDO3_C	0x04					48855
\_SB.URS0.UFN0			LDO9_E	0x04					48869
\_SB.URS0.UFN0			LDO5_E	0x04					48883
\_SB.URS1.USB1			LDO12_A	0x001B7740	0x07				48988
\_SB.URS1.USB1			LDO16_E	0x002EE000	0x07				49002
\_SB.URS1.USB1			LDO3_C	0x00124F80	0x07				49016
\_SB.URS1.USB1			LDO9_E	0x000DEA80	0x07				49030
\_SB.URS1.USB1			LDO5_E	0x000D6D80	0x07				49044
\_SB.URS1.USB1			LDO12_A	0x001B7740	0x04				49385
\_SB.URS1.USB1			LDO16_E	0x002EE000	0x04				49399
\_SB.URS1.USB1			LDO3_C	0x00124F80	0x04				49413
\_SB.URS1.USB1			LDO9_E	0x000DEA80	0x04				49427
\_SB.URS1.USB1			LDO5_E	0x000D6D80	0x04				49441
\_SB.URS1.USB1			LDO12_A	0x001B7740	0x04				49589
\_SB.URS1.USB1			LDO16_E	0x002EE000	0x04				49603
\_SB.URS1.USB1			LDO3_C	0x00124F80	0x04				49617
\_SB.URS1.USB1			LDO9_E	0x000DEA80	0x04				49631
\_SB.URS1.USB1			LDO5_E	0x000D6D80	0x04				49645
\_SB.URS1.USB1			LDO16_E	0x04					49793
\_SB.URS1.USB1			LDO12_A	0x04					49807
\_SB.URS1.USB1			LDO3_C	0x04					49821
\_SB.URS1.USB1			LDO9_E	0x04					49835
\_SB.URS1.USB1			LDO5_E	0x04					49849
\_SB.URS1.UFN1			LDO12_A	0x001B7740	0x07				49902
\_SB.URS1.UFN1			LDO16_E	0x002EE000	0x07				49916
\_SB.URS1.UFN1			LDO3_C	0x00124F80	0x07				49930
\_SB.URS1.UFN1			LDO9_E	0x000DEA80	0x07				49944
\_SB.URS1.UFN1			LDO5_E	0x000D6D80	0x07				49958
\_SB.URS1.UFN1			LDO12_A	0x001B7740	0x04				50262
\_SB.URS1.UFN1			LDO16_E	0x002EE000	0x04				50276
\_SB.URS1.UFN1			LDO3_C	0x00124F80	0x04				50290
\_SB.URS1.UFN1			LDO9_E	0x000DEA80	0x04				50304
\_SB.URS1.UFN1			LDO5_E	0x000D6D80	0x04				50318
\_SB.URS1.UFN1			LDO16_E	0x04					50456
\_SB.URS1.UFN1			LDO12_A	0x04					50470
\_SB.URS1.UFN1			LDO3_C	0x04					50484
\_SB.URS1.UFN1			LDO9_E	0x04					50498
\_SB.URS1.UFN1			LDO5_E	0x04					50512
\_SB.USB2			LDO12_A	0x001B7740	0x07				50565
\_SB.USB2			LDO16_E	0x002EE000	0x07				50579
\_SB.USB2			LDO3_C	0x00124F80	0x07				50593
\_SB.USB2			LDO9_E	0x000DEA80	0x07				50607
\_SB.USB2			LDO5_E	0x000D6D80	0x07				50621
